Creative Id,Creative Type Description,Company URL,Product Description,Creative,Creative Description,Select
1,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://www.showpad.com/,"Showpad is a sales enablement platform (eOS®) that brings together content management, training, buyer engagement, and analytics in one AI-powered operating system to empower sellers and drive revenue effectiveness.",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/o8w-L2kZi6RrYgdMi3I3cg/hzIddfQiBR0yc0yYJo9Nty-YlBUO_rUDxMfVYmv2Pww6dpUr_rI6Kbz0ETizgmK_Gu4iRt2tWnRJdHI0778Ik4CkPnSOO533qqkfOvRMuN5Vnzfw8_PD87-3sBNR9GsY01grV0hQE_WjnQctOIyaeQ/J_Omc6Rj9Fosk6BK9AaqEFGVV1UQYTrWhhugV8RG5MM),"Showpad is a sales-enablement platform for B2B teams that centralizes every piece of collateral with automated version control and real-time update alerts. Without it, reps waste hours chasing broken links, outdated decks and pinging marketing; with it, every asset lives in one hub and sales are notified the instant a new version is uploaded. The creative uses a striking Before/After split—on the left, frustrated chat bubbles cry “Where’s the deck? Link’s broken! Can’t find the new version!”; on the right, a clean timeline shows a marketer uploading the updated pitch deck and instantly notifying sales—dramatically illustrating the shift from chaos to clarity.",before_after_with_without
2,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://pelion.com/,"Pelion is an IoT connectivity platform offering secure, scalable global device connectivity via a single eUICC-enabled SIM or eSIM, with a management portal for provisioning, monitoring, and billing across 600+ networks in 150+ countries. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/XmweZy8LpouEzH-JbIz8Og/syiR5RCDhaauQOZP4f2-TaOKHyFYNHCfKnI4z2pUKH1DCT1GyUUuMBRvK81y19JoqnCWmsUTf3XjHc8DG6_3YDWnKpBhzvrAWD_Hy5lm1m4Je_GDj5y2EeDD_46s14jeRp0FxBQZsx8yeW20aSz8cQ/MWdPy_Ni8kJ2svT_1US4mtxYC4tBVaAB03rksxlzvMU),"Pelion is an IoT connectivity platform that replaces multiple carrier agreements with a single eSIM, giving device makers instant access to 600+ networks worldwide. Without Pelion, businesses are stuck in coverage lock-in, suffer unreliable connections, ballooning operational costs and security gaps; with Pelion, they enjoy seamless global coverage, unmatched reliability, reduced complexity and fortified IoT security. The creative drives this home with a Before/After split—on the left a plain SIM icon and a list of crossed-out pain points, on the right a sleek Pelion-branded eSIM card accompanied by check-marked benefits—visually illustrating the leap from fragmented connectivity to effortless, secure, one-stop networking.",before_after_with_without
3,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://scytale.ai/,"Scytale is an AI-powered compliance automation platform and expert advisory service that streamlines audit readiness, continuous control monitoring, and certification (SOC 2, ISO 27001, HIPAA, GDPR, PCI DSS) so companies can get—and stay—compliant effortlessly. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/v3-WOchN2rjcKh4kTF-qUg/w5PF0IiwarwDtLq_GMomJCeoiDRKxdhQpHVsTiCbuF3BECrGyhlaTW50Dh00sjWWKZx9aRAHS1_OVvyu_vMs3Spnyu-7qySiNoqCiLilmtMlL8tBGsWNG8haZAlalHw2zspMHxhDyfJDK_JmboRo3Q/r1BlLBCTBj43xY8YLzOfE1Pg1K4eNwdTKRfpVUi0CQ8),"Scytale is an ISO 27001 compliance partner for tech teams, taking on every audit step—from gap analysis and remediation planning to evidence collection and auditor coordination—so security leaders can stay focused on core business. Without Scytale, you’re staring at a never-ending to-do list of analyses, meetings, data-room setups and folder organization; with Scytale, you hand off every task and get certified without lifting a finger. The ad drives this home with a stark checklist graphic: on the left, a long series of empty circles listing all the manual audit chores; on the right, a single checked circle reading “Let us do it all for you,” visually sealing the promise of effortless, end-to-end compliance.",before_after_with_without
4,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://scytale.ai/,"Scytale is an AI-powered compliance automation platform and expert advisory service that streamlines audit readiness, continuous control monitoring, and certification (SOC 2, ISO 27001, HIPAA, GDPR, PCI DSS) so companies can get—and stay—compliant effortlessly. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/jh67BEfOmfjxEnEUc47URg/4yIi0BNqp8ysXBjDnWvHHe3XoFKZeESgbUVd8DMmSc2ZmP03Esoorz-dusfWI2IWWuEMb66Q9KBGLNM3ivRBHMy-GZmN1QkCyaaG4lPvYAEbqJhOm3J6MXiB8WnAb5LOCE8ZFFEeBVvpGMF60DhtQw/EC9hfpZzBGc2LEtPztkq68F32csEBRHOPsPbMPyLrHg),"Scytale empowers managed security service providers (MSSPs) to expand beyond classic offerings by automating ISO 27001 and SOC 2 certifications alongside their existing services. Without Scytale, MSSPs face capped revenue per client, limited service scope and no compliance credentials; with Scytale, they can instantly add compliance certifications, boost per-client revenue without extra overhead and automate the entire audit process. The ad uses a clear side-by-side: on the left, a dark box listing three crossed-out pain points (“Limited revenue per client,” “Only offer classic MSSP services,” “Don’t offer compliance certifications”); on the right, a vibrant box with check-marked benefits (“Offer clients SOC 2 & ISO 27001,” “Drive more revenue per client,” “No increase in overheads,” “Automate entire process”), visually sealing the case for partnership.",before_after_with_without
5,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://ziphq.com/,"Zip is a procurement orchestration platform that streamlines intake-to-procure and procure-to-pay processes with no-code workflows, AI-driven procurement agents, and deep P2P/ERP integrations to accelerate purchasing cycles, control spend, and reduce risk. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/tZol64yt0LBA6c3yYzqU4A/xafq4Ei_VxksRBaQhgjcgaeHIa-OvYzI1GL8wDlWwX9ljMjY8_SLlgo7U4CHaM5MSlS1qaFOC_DYS3cmLtAk2CjvHzvj5G6CqnMCfIB6bTXXKqMSr-XgRnLfEgcRKkh11sv66S_73isj4OQk3y4ihg/IODyfnR7MrEEVYW8p66GeS2O_bMIjLmwV6enyDYotu8),"Zip is a procurement automation platform that ensures every purchase order is followed, giving finance teams full visibility and control over company spending. Without Zip, only about half of employees actually back their expenses with formal POs—creating compliance gaps and surprise costs; with Zip, more than 95 % of spend flows through approved purchase orders, tightening governance and eliminating maverick buying. The creative drives this home with a simple “Before/After” bar chart: a muted 50 % column for “Before Zip” juxtaposed against a bold, bright 95 %+ column for “After Zip,” instantly visualizing the dramatic boost in PO-backed spend.",before_after_with_without
6,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://scytale.ai/,"Scytale is an AI-powered compliance automation platform and expert advisory service that streamlines audit readiness, continuous control monitoring, and certification (SOC 2, ISO 27001, HIPAA, GDPR, PCI DSS) so companies can get—and stay—compliant effortlessly. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/ke3GaXo2qdE82RBC8L-I3w/QmR8gE9j_rQ--L3o38b2Cnmc3RMEfb_3NGzTgQFul9fpHg9bllk2QLtODnJ6zA7NEH1IGp8f6sbdciQOy_S7tHUS2I7yHOiwrRR_SWSHgryGGe3sLt2jOl-Mb93y_PkzDb1De4mTkk7R-5HBwy-AQg/DNZr0ha0-5a_TTP7i0PU3wadlgAXMygVAo0PCHpkvF0),"Scytale is a compliance automation platform for tech and security teams aiming to nail SOC 2 without the usual headaches, bundling software-driven audit prep and expert support into one seamless service. Without Scytale, you’re stuck slogging through endless manual checklists—audit prep drags on, you risk failing your first attempt, miss out on deals and end up scrambling for costly consultants—whereas with Scytale you move 75% faster, get it right first time, automate the admin and lean on our experts for anything else. The ad drives this home with a “Getting SOC 2 sucks. Unless you use Scytale.” headline and a split graphic: on the left a small, sputtering firework icon sits above crossed-out pains, on the right a sleek rocket icon soars above check-marked benefits—visually launching you from audit agony to streamlined success.",before_after_with_without
7,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://www.showpad.com/,"Showpad is a sales enablement platform (eOS®) that brings together content management, training, buyer engagement, and analytics in one AI-powered operating system to empower sellers and drive revenue effectiveness.",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/IW8Aw2UxkxE_hG5sEjxK2Q/A3lANRciDCTGNlSQX6SgXjh84bGKmzGuIYa1TaNiOz_DmjOKXOwfQ_K8l5l_sssONhTeX9CcDgkp34IHiivs6zgR1q8V5KikgFaRmGinhCDystCq81DGZ1LagP6bGmNdpvFGWPqWnWi2F0yfGSHuhA/082aR3F8Kt1RJDQUNC7r-RcYl4RHp6rBJWzu5RR8lO0),"Showpad is a sales‐enablement platform for B2B revenue teams that goes far beyond basic pageview metrics by centrally tracking real-time usage, shares, opens, views, time on page, downloads and even revenue generated. Without Showpad, marketers and reps are stuck guessing content impact from sparse pageview data and missing hidden engagement signals; with Showpad, every interaction is captured and tied directly to deal outcomes, giving teams the precise insights they need to optimize collateral. The ad’s bold Before/After split—dark “Before” panel showing a lone checked “Pageviews” line versus a bright “After” panel listing seven check-marked metrics—vividly dramatizes the shift from guesswork to full-funnel content intelligence.",before_after_with_without
8,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://dovetail.com/,"Dovetail is an AI-driven customer insights platform that centralizes qualitative research—interviews, surveys, support tickets, documents—and automatically analyzes, tags, and summarizes feedback into actionable insights to inform product and customer strategies. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/GD12MIXGqh3drDV5WlJfkQ/dEa5X4sprS-mBOylvbcnd1P5F2gsBQUWcW2SUUAgUf4Eo4XuLlDoeVZbv2vXQCYAIevLPNa3xGGnPuf_p7CLfdpg8sU1cGXuJnstneHK4iDqy8Ge9HAqGwsl-IB6-S7g47gByIBbOFJBE0O_GBZfnA/enJpShF6d6e3WpuN5AdVZwDh38b7Pwc2HxClkkTJjR0),"Dovetail is a user‐research platform built for product and UX teams that consolidates transcripts, tagging, analysis and reporting into one workspace. Without Dovetail, researchers waste hours transcribing recordings, exporting to spreadsheets, manually tagging insights, editing clips and building slide decks—leaving little time for actual discovery. With Dovetail, all those tedious steps disappear so you can simply “do research.” The creative drives this home with a “How it feels to do research” headline above a hand-sketched, unfinished car labeled “Without Dovetail” alongside a sleek, fully rendered muscle car labeled “With Dovetail,” and a long checklist of empty tasks contrasted against a single checked box—visually underscoring the shift from manual grunt work to focused research.",before_after_with_without
9,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://www.valuecase.com/,"Valuecase is a customer success and onboarding workspace that creates shared, templated “Spaces” where teams can collaborate on action plans, automate task workflows and templated communications, and track engagement to close and onboard customers up to 50% faster. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/pc-I5JPoUf1VAhDi3TjBRg/npbOOwJ_g0qTAM8KyJNWdcKF8pDmM7Q_tMqxVU6Uy5LIi9DxRnQr6AU-u6XyCwJwxJwqLaO8YP9NYrqeq3jWVAch5qP4Ck6M_V7TpXQwBFH4mBnxFcX3hclK3OCEHjQ36y2kMYif7SRRcHJ2emTGZw/u7BFzJpcpi8fnQXaC-PLSKaPuJn__9fEt8wAA1AUlzk),"Valuecase is a customer-onboarding platform that lets B2B CSMs replace slow, manual rollout processes with a single, shareable onboarding space. Without Valuecase, success teams slog through eight steps—building welcome packages, scheduling kickoff calls, drafting Excel plans, chasing todos and ping-ponging on email—before a customer is live. With Valuecase, you simply send a hosted onboarding space and your customer is ready in three clicks. The ad brings this to life with a “Customer Onboarding:” header over a sleepy sloth and a lengthy, eight-step list on the left, contrasted by a sprinting cheetah and a two-step flow on the right—dramatically visualizing the shift from slogging to sprinting.",before_after_with_without
10,"A side-by-side comparison format showing the scenario without the solution (the “before” or “without” state) on one panel and the transformed, improved outcome after using the solution (the “after” or “with” state) on the other—highlighting the problem, the contrast, and the product’s impact.",https://www.valuecase.com/,"Valuecase is a customer success and onboarding workspace that creates shared, templated “Spaces” where teams can collaborate on action plans, automate task workflows and templated communications, and track engagement to close and onboard customers up to 50% faster. ",image.png (https://v5.airtableusercontent.com/v3/u/42/42/1750795200000/u1YgEUi5W6XY4kgTMiut4g/O-fwYHeQF3u8H96HTPLlO-HyKDVSHwjjqWuDbGEnWuROVy_iVcExheG8ENWEgHQ9C8zBHtpLJjolvajU9TJft0VfCiDyTz2-F70FC2f3IjaBtglsyVXPKnOEGStCZzgHaBdyCNdfa-IwWlDg4K-z-Q/d620lLKFRGOqyvb5cvCwM-BNqZC-wYvkTDtuqiADO3Q),"Valuecase is a customer-onboarding platform built for B2B success teams, offering a single dashboard, automated task reminders and shared onboarding workspaces to replace manual spreadsheets and endless follow-ups. Without Valuecase, CSMs juggle manual tracking in slides and sheets, chase customers daily and stitch together disparate tools; with Valuecase, they manage every step in one place, trigger reminders automatically and collaborate in a live workspace. The ad brings this to life with a crisp side-by-side: on the left, a faded “Without Valuecase” panel lists three crossed-out pains (“Manual tracking in spreadsheets,” “Chasing customers daily,” “Project mgmt. in slides & sheets”), while on the right a bold “With Valuecase” panel shows three check-marked wins (“One dashboard to track everything,” “Auto reminders for tasks,” “Shared onboarding workspaces”), visually underscoring the leap from chaotic process to streamlined onboarding.",before_after_with_without
